candidate_id,organisation_name,fy25_report_name,current_public_name,relationship_evidence,fy25_evidence_date,current_public_evidence_date,fy25_source_url,current_relationship_source_urls,current_status_or_location_source_urls,coordinate_provenance,coordinate_method,public_point_label,public_point_address,latitude,longitude,point_class,coordinate_status,protected_or_sensitive,current_status_note,limitation,reference_only,route_ready
FY25-11,Church Unlimited Auckland City Campus,Church Unlimited Auckland City Campus,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.foodbank.co.nz/church-unlimited-auckland-city,docs/research.md,reviewed_public_address_geocode,"Ground Floor, 2A Augustus Terrace, Parnell","Ground Floor, 2A Augustus Terrace, Parnell",-36.850868,174.776508,A,public_approximate,false,Current foodbank listing.,Public campus point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-12,Everybody Eats Glen Innes,Everybody Eats Glen Innes,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://everybodyeats.nz/dine-with-us,docs/research.md,reviewed_public_address_geocode,"133 Line Road, Glen Innes","133 Line Road, Glen Innes",-36.878330,174.856460,A,public_approximate,false,Current Everybody Eats location evidence.,Public service point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-13,Everybody Eats Onehunga,Everybody Eats Onehunga,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.everybodyeats.nz/dine-with-us/onehunga-auck,docs/research.md,reviewed_public_address_geocode,"306 Onehunga Mall, Onehunga","306 Onehunga Mall, Onehunga",-36.919140,174.784670,A,public_approximate,false,Current Everybody Eats Onehunga evidence.,Public service point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-14,Feed the Streets (Kai Avondale),Feed the Streets (Kai Avondale),,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.iloveavondale.co.nz/kaiavondale,docs/research.md,reviewed_public_address_geocode,"Avondale Community Centre, 99 Rosebank Road","Avondale Community Centre, 99 Rosebank Road",-36.894150,174.694900,A,public_approximate,false,Current Kai Avondale programme point.,Programme point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-15,Genesis Youth Trust - Glen Innes,Genesis Youth Trust - Glen Innes,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.genesis.org.nz/contact,docs/research.md,reviewed_source_embedded_or_campus_point,"Corner Taniwha Street and Line Road, Glen Innes","Corner Taniwha Street and Line Road, Glen Innes",-36.879000,174.859000,I,public_approximate,false,Current Genesis contact evidence; intersection precision.,Intersection point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-16,Genesis Youth Trust - Mangere,Genesis Youth Trust - Mangere,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.genesis.org.nz/contact,docs/research.md,reviewed_public_address_geocode,"92 Bader Drive, Māngere 2022","92 Bader Drive, Māngere 2022",-36.967347,174.798129,A,public_approximate,false,Current Genesis head-office evidence.,Public organisation point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-17,Genesis Youth Trust - Manurewa,Genesis Youth Trust - Manurewa,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://manurewabusiness.co.nz/listing/genesis-youth-trust/,docs/research.md,reviewed_coarse_point,"169 Great South Road, Manurewa","169 Great South Road, Manurewa",-37.021088,174.895370,H,public_approximate,false,Current organisation exists; local directory point geocodes to 169A and needs re-confirmation.,Ambiguous proxy point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-18,Grandparents raising Grandchildren Trust NZ - Papakura Support Group,Grandparents raising Grandchildren Trust NZ - Papakura Support Group,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.familyservices.govt.nz/directory/viewprovider.htm?id=24002&pageNumber=165&pageSize=10&searchRegion=2,docs/research.md,reviewed_coarse_point,Papakura suburb centroid,Papakura suburb centroid,-37.064265,174.944667,S,public_approximate,false,Current government service listing; no fixed public venue was verified.,Suburb centroid is non-navigable and does not prove a current KiwiHarvest receiving site.,true,false
FY25-19,Howick College,Howick College,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.howickcollege.school.nz/contact,docs/research.md,reviewed_public_address_geocode,"25 Sandspit Road, Cockle Bay","25 Sandspit Road, Cockle Bay",-36.907690,174.938340,A,public_approximate,false,Current school campus evidence.,Campus coordinate is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-20,Island Child Charitable Trust,Island Child Charitable Trust,Island Child Charitable Trust,FY25-snapshot;current-public,2025-03-31,2026-08-08,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,https://www.kiwiharvest.org.nz/receive-food,https://islandchild.org.nz/about-us/,docs/research.md,reviewed_coarse_point,Point England suburb centroid,Point England suburb centroid,-36.883960,174.864700,S,public_approximate,true,Current organisation and KiwiHarvest case evidence; protected transitional-housing location.,"Protected coarse point only; never a real destination, safe-house point, or navigation stop.",true,false
FY25-21,Kootuitui ki Papakura,Kootuitui ki Papakura,Kootuitui ki Papakura,FY25-snapshot;current-public,2025-03-31,2026-08-08,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,https://www.kiwiharvest.org.nz/blogs/more-than-food-how-kiwiharvest-empowers-charities-to-change-lives-across-new-zealand,https://kootuitui.org.nz/contact/,docs/research.md,reviewed_public_address_geocode,"29 Broadway, Papakura 2110","29 Broadway, Papakura 2110",-37.062879,174.943819,A,public_approximate,false,Current-published KiwiHarvest impact case and public financial-wellbeing office; alternate public office remains unconfirmed.,Public office approximation is not a confirmed food receiving entrance or live operational site.,true,false
FY25-22,Mairangi Bay Community Church,Mairangi Bay Community Church,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.mairangichurch.org.nz/,docs/research.md,reviewed_public_address_geocode,"49 Maxwelton Drive, Mairangi Bay","49 Maxwelton Drive, Mairangi Bay",-36.741620,174.747050,A,public_approximate,false,Current public church address.,Public church point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-23,Māngere Budgeting Services Trust,Mangere Budgeting Services Trust,Māngere Budgeting Services Trust／Tātou Social Supermarket,FY25-snapshot;current-public,2025-03-31,2026-08-08,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,https://www.kiwiharvest.org.nz/auckland-branch,https://www.mbst.org.nz/tatou-social-supermarket;https://www.mbst.org.nz/otahuhu-branch,docs/research.md,reviewed_public_address_geocode,"33A Walmsley Road, Ōtāhuhu 1061","33A Walmsley Road, Ōtāhuhu 1061",-36.948191,174.834392,A,public_approximate,false,Current branch/testimonial and Tātou evidence; 93 Bader Drive is an alternate and neither point is a confirmed KiwiHarvest receiving site.,"Public branch approximation is not a confirmed receiving entrance, current capacity, or route destination.",true,false
FY25-24,Manukau City Baptist Church,Manukau City Baptist Church,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.citybaptist.org.nz/about-us,docs/research.md,reviewed_public_address_geocode,"9 Lambie Drive, Papatoetoe","9 Lambie Drive, Papatoetoe",-36.985630,174.870284,A,public_approximate,false,Current public church site.,Public church point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-25,Manukau Institute of Technology - SSTS,Manukau Institute of Technology - SSTS,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.manukau.ac.nz/about/partnerships/school-of-secondary-tertiary-studies/faqs/,docs/research.md,reviewed_source_embedded_or_campus_point,"Gate 11A, 54 Ōtara Road, Ōtara","Gate 11A, 54 Ōtara Road, Ōtara",-36.955402,174.871392,I,public_approximate,false,Current SSTS programme site.,Campus/gate approximation is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-26,Manurewa Soup Kitchen,Manurewa Soup Kitchen,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://infocouncil.aucklandcouncil.govt.nz/Open/2025/06/20250619_MR_MIN_12956.htm,docs/research.md,reviewed_coarse_point,Manurewa suburb centroid,Manurewa suburb centroid,-37.021281,174.897148,S,public_approximate,false,Auckland Council recorded 2025 activity; no fixed current venue was verified.,Suburb centroid is non-navigable and does not prove a current KiwiHarvest receiving site.,true,false
FY25-27,North Shore Women’s Centre,North Shore Women’s Centre,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://nswomenscentre.org.nz/about-us/,docs/research.md,reviewed_coarse_point,"Former office, 5 Mayfield Road, Glenfield","Former office, 5 Mayfield Road, Glenfield",-36.778050,174.722460,H,public_approximate,true,Official closure notice says permanently closed on 2025-11-28.,Historical closed-site point is not a current recipient or route destination.,true,false
FY25-28,Onehunga Community Embracing Families and Homeless in Need,Onehunga Community Embracing Families and Homeless in Need,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://aucklandanglican.org.nz/find-a-church/st-peters-onehunga/,docs/research.md,reviewed_public_address_geocode,"St Peter’s Church, 184 Onehunga Mall","St Peter’s Church, 184 Onehunga Mall",-36.922560,174.784930,A,public_approximate,false,Current programme name is Onehunga Embracing Families; church venue is public.,Programme venue is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-29,Otahuhu Maori Wardens,Otahuhu Maori Wardens,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://maoriwardens.nz/te-taitokerau-tamaki-tamaki-ki-te-tonga/,docs/research.md,reviewed_coarse_point,"Public district-base proxy, 13 Inverell Avenue, Wiri","Public district-base proxy, 13 Inverell Avenue, Wiri",-37.001415,174.885374,H,public_approximate,false,Current regional network does not publish an Ōtāhuhu fixed site.,Proxy point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-30,Papakura Marae,Papakura Marae,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.papakuramarae.co.nz/,docs/research.md,reviewed_public_address_geocode,"29 Hunua Road, Papakura 2110","29 Hunua Road, Papakura 2110",-37.070078,174.959078,A,public_approximate,false,Current public marae site.,Public marae point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-31,Reconnect Family Services Manukau,Reconnect Family Services Manukau,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://reconnect.org.nz/contact-us/,docs/research.md,reviewed_coarse_point,"8 Puhinui Road, Manukau 2104","8 Puhinui Road, Manukau 2104",-36.984557,174.867670,H,public_approximate,false,Current head-office address; geocode candidate has unit-number ambiguity.,Ambiguous public office point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-32,Reconnect Family Services New Lynn,Reconnect Family Services New Lynn,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://reconnect.org.nz/contact-us/,docs/research.md,reviewed_public_address_geocode,"15 Puriri Street, New Lynn","15 Puriri Street, New Lynn",-36.909320,174.688550,A,public_approximate,false,Current Reconnect contact evidence.,Public office point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-33,Ronald McDonald House Auckland,Ronald McDonald House Auckland,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://rmhc.org.nz/stay-with-us/auckland-house/,docs/research.md,reviewed_source_embedded_or_campus_point,"Building 11, 2 Park Road, Grafton","Building 11, 2 Park Road, Grafton",-36.858200,174.771810,I,public_approximate,true,Current Auckland House hospital-campus point.,Sensitive service point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-34,Roskill South Oasis,Roskill South Oasis,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.adcoss.org.nz/item/roskill-south-oasis/,docs/research.md,reviewed_public_address_geocode,"56 Glass Road, Mount Roskill","56 Glass Road, Mount Roskill",-36.926500,174.737500,A,public_approximate,false,Current community-service listing.,Public service point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-35,Ruapotaka Marae Incorporated Society,Ruapotaka Marae Incorporated Society,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.tekaupapa.maori.nz/ruapotaka-marae,docs/research.md,reviewed_public_address_geocode,"Ruapōtaka Marae, 106 Line Road, Glen Innes","Ruapōtaka Marae, 106 Line Road, Glen Innes",-36.879440,174.856940,A,public_approximate,false,Current marae evidence.,Public marae point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-36,Shine Mt Albert,Shine Mt Albert,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://2shine.org.nz/what-we-do/advocacy,docs/research.md,reviewed_coarse_point,Mount Albert area centroid,Mount Albert area centroid,-36.883330,174.716670,S,public_approximate,true,Protected family-violence service; not a refuge address.,Protected area centroid is non-navigable and must not expose a service destination.,true,false
FY25-37,Shine North Shore,Shine North Shore,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://2shine.org.nz/what-we-do/advocacy,docs/research.md,reviewed_coarse_point,North Shore area centroid,North Shore area centroid,-36.800000,174.750000,S,public_approximate,true,Current advocacy evidence mentions North Shore but no separate public office.,Protected area centroid is non-navigable and must not expose a service destination.,true,false
FY25-38,South Auckland Family Refuge Papatoetoe,South Auckland Family Refuge Papatoetoe,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.healthpoint.co.nz/community-health-and-social-services/refuge/south-auckland-family-refuge/,docs/research.md,reviewed_coarse_point,Ōtāhuhu suburb centroid,Ōtāhuhu suburb centroid,-36.938200,174.840190,S,public_approximate,true,Current refuge service evidence; protected and non-navigable.,"Protected coarse point only; never a refuge address, receiving entrance, or route destination.",true,false
FY25-39,St Columba Anglican Church Grey Lynn,St Columba Anglican Church Grey Lynn,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://aucklandanglican.org.nz/find-a-church/st-columba-grey-lynn/,docs/research.md,reviewed_public_address_geocode,"92 Surrey Crescent, Grey Lynn","92 Surrey Crescent, Grey Lynn",-36.862710,174.733680,A,public_approximate,false,Current Anglican parish evidence.,Public church point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-40,Strive Community Trust Manurewa,Strive Community Trust Manurewa,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.strive.org.nz/contact/,docs/research.md,reviewed_coarse_point,"Current office, 294A Massey Road, Māngere","Current office, 294A Massey Road, Māngere",-36.962546,174.830390,H,public_approximate,false,Current STRIVE office; no current Manurewa-specific site was found.,Proxy office point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-41,Te Whare Aio - Manurewa Women’s Refuge,Te Whare Aio - Manurewa Women’s Refuge,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.healthpoint.co.nz/community-health-and-social-services/refuge/te-whare-aio-maori-womens-refuge/,docs/research.md,reviewed_coarse_point,Manurewa suburb centroid,Manurewa suburb centroid,-37.018200,174.880190,S,public_approximate,true,Current refuge service evidence; protected and non-navigable.,"Protected coarse point only; never a refuge address, receiving entrance, or route destination.",true,false
FY25-42,Te Whare Marama O Mangere Women’s Refuge,Te Whare Marama O Mangere Women’s Refuge,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://gazette.govt.nz/notice/id/2025-go2463,docs/research.md,reviewed_coarse_point,Māngere suburb centroid,Māngere suburb centroid,-36.968070,174.798750,H,public_approximate,true,Historical protected locality; provider approval was revoked effective 2025-05-05.,Historical protected coarse point is not a current recipient or navigation destination.,true,false
FY25-43,Te Whare O Nga Tumanako Women’s Refuge,Te Whare O Nga Tumanako Women’s Refuge,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.healthpoint.co.nz/community-health-and-social-services/refuge/te-whare-o-nga-tumanako-maori-womens-refuge/,docs/research.md,reviewed_coarse_point,Te Atatū South suburb centroid,Te Atatū South suburb centroid,-36.864720,174.647680,S,public_approximate,true,"Current refuge service evidence; public locality evidence conflicts, so coarse point only.","Protected coarse point only; never a refuge address, receiving entrance, or route destination.",true,false
FY25-44,The Koha Shed - West Auckland,The Koha Shed - West Auckland,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.west.org.nz/wp-content/uploads/2021/02/HC2A-Homelessness-Housing-and-Community-Resources-in-West-Auckland-version-3-final-3.2.21.pdf,unknown,unknown,,,,,U,unknown,false,FY25 name retained; the older resource guide was too stale to establish a current fixed point.,No defensible public coordinate; coordinate deliberately remains unknown.,true,false
FY25-45,The Otara Kai Village,The Otara Kai Village,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.communitybuildersnz.org/our-kaupapa.html,docs/research.md,reviewed_public_address_geocode,"120 East Tāmaki Road, Ōtara","120 East Tāmaki Road, Ōtara",-36.962089,174.873237,A,public_approximate,false,Current Community Builders programme point.,Public programme point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-46,The Salvation Army Glenfield Foodbank,The Salvation Army Glenfield Foodbank,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.salvationarmy.org.nz/location/glenfield-community-ministries-north-shore-service-hub/,docs/research.md,reviewed_public_address_geocode,"4 Kaipatiki Road, Glenfield","4 Kaipatiki Road, Glenfield",-36.781810,174.720420,A,public_approximate,false,Current North Shore Service Hub evidence.,Public service point is not a confirmed commercial receiving entrance or current KiwiHarvest site.,true,false
FY25-47,The Salvation Army Hibiscus Coast,The Salvation Army Hibiscus Coast,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.salvationarmy.org.nz/corps/hibiscus-coast-corps/,docs/research.md,reviewed_public_address_geocode,"32–38 Greenview Lane, Red Beach","32–38 Greenview Lane, Red Beach",-36.607400,174.689000,A,public_approximate,false,Current Hibiscus Coast Corps public donation point; commercial receiving is unconfirmed.,Public donation point is not a confirmed commercial receiving entrance or current KiwiHarvest site.,true,false
FY25-48,The Salvation Army Manukau Foodbank,The Salvation Army Manukau Foodbank,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.salvationarmy.org.nz/location/manukau-community-ministries/,docs/research.md,reviewed_public_address_geocode,"16B Bakerfield Place, Manukau 2104","16B Bakerfield Place, Manukau 2104",-36.989006,174.884941,A,public_approximate,false,Current Manukau Community Ministries evidence.,Public service point is not a confirmed commercial receiving entrance or current KiwiHarvest site.,true,false
FY25-49,The Salvation Army Rosedale,The Salvation Army Rosedale,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.salvationarmy.org.nz/centres/nz/auckland/albany-bays/albany-bays-corps,docs/research.md,reviewed_public_address_geocode,"90 Rosedale Road, Albany／Rosedale","90 Rosedale Road, Albany／Rosedale",-36.735540,174.725900,A,public_approximate,false,Current Albany Bays Corps foodbank service evidence.,Public service point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-50,Vaka Tautua - Manukau,Vaka Tautua - Manukau,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.vakatautua.co.nz/fish-contact-us,docs/research.md,reviewed_public_address_geocode,"12 Lambie Drive, Papatoetoe","12 Lambie Drive, Papatoetoe",-36.986086,174.871835,A,public_approximate,false,Current South Auckland office evidence.,Public office point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-51,Waitakere College,Waitakere College,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://www.waitakerecollege.school.nz/contact-us,docs/research.md,reviewed_public_address_geocode,"42 Rathgar Road, Henderson","42 Rathgar Road, Henderson",-36.867060,174.618430,A,public_approximate,false,Current school campus evidence.,Campus coordinate is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
FY25-52,Whanau Resource Centre o Pukekohe Charitable Trust,Whanau Resource Centre o Pukekohe Charitable Trust,,FY25-snapshot,2025-03-31,,https://www.kiwiharvest.org.nz/s/2025-KiwiHarvest_AnnualReport-Final.pdf,,https://whanauresourcecentre.org.nz/contact/,docs/research.md,reviewed_public_address_geocode,"17 McNally Road, Pukekohe","17 McNally Road, Pukekohe",-37.207313,174.888014,A,public_approximate,false,Current office and Koha Shed evidence.,Public office/programme point is not a confirmed receiving entrance or current KiwiHarvest site.,true,false
